756,-1023
8200,11,1023
8215,66,1023
8229,118,1023
8245,173,1023
8260,229,1023
8276,285,1023
8292,344,1023
8307,402,1023
8323,462,1023
8338,523,1023
8354,583,1023
8370,642,1023
8385,700,1023
8400,757,1023
8417,811,1023
8432,868,1023
8448,924,1023
8463,982,1023
8479,1023,1023
8496,11,1023
8510,65,1023
8524,118,1023
8540,174,1023
8556,230,1023
8571,286,1023
8587,344,1023
8602,402,1023
8619,462,1023
8634,523,1023
8649,583,1023
8665,642,1023
8681,700,1023
8696,757,1023
8712,811,1023
8727,868,1023
8743,924,1023
8759,982,1023
8774,1021,1023
8791,11,1023
8805,66,1023
8820,119,1023
8836,175,1023
8851,232,1023
8866,288,1023
8883,345,1023
8898,402,1023
8913,463,1023
8929,523,1023
8945,583,1023
8961,641,1023
8976,698,1023
8991,754,1023
9008,808,1023
9023,863,1023
9038,918,1023
9054,975,1023
9069,1023,1023
9086,3,1023
9100,53,1023
9114,106,1023
9129,162,1023
9146,217,1023
9161,274,1023
9177,331,1023
9192,388,1023
9208,447,1023
9224,508,1023
9239,567,1023
9254,625,1023
9270,684,1023
9286,739,1023
9302,794,1023
9317,848,1023
9332,904,1023
9349,960,1023
9364,1017,1023
9380,0,1023
9394,36,1023
9409,90,1023
9423,143,1023
9439,198,1023
9454,254,1023
9469,311,1023
9486,370,1023
9501,428,1023
9517,489,1023
9532,549,1023
9548,608,1023
9564,666,1023
9579,722,1023
9594,778,1023
9611,833,1023
9626,888,1023
9641,943,1023
9657,1000,1023
9674,1023,1023
9691,32,1023
9705,87,1023
9719,140,1023
9735,195,1023
9751,251,1023
9766,307,1023
9782,366,1023
9797,424,1023
9814,484,1023
9829,543,1023
9844,602,1023
9860,659,1023
9876,716,1023
9891,770,1023
9907,825,1023
9922,880,1023
9937,935,1023
9954,991,1023
9969,1023,1023
9986,19,1023
10000,72,1023
10016,129,1023
10033,189,1023
10049,228,-1023
10066,237,-1023
10085,186,-1023
10102,127,-1023
10120,67,-1023
10136,9,-1023
10152,1023,-1023
10171,979,-1023
10188,920,-1023
10207,860,-1023
10224,802,-1023
10242,745,-1023
10259,685,-1023
10277,622,-1023
10295,559,-1023
10312,496,-1023
10330,431,-1023
10348,369,-1023
10365,308,-1023
10383,248,-1023
10400,188,-1023
10419,127,-1023
10436,66,-1023
10452,7,-1023
10468,1023,-1023
10487,976,-1023
10505,917,-1023
10522,857,-1023
10541,797,-1023
10558,740,-1023
10575,677,-1023
10593,613,-1023
10611,549,-1023
10629,484,-1023
10646,419,-1023
10663,355,-1023
10682,294,-1023
10699,232,-1023
10717,167,-1023
10734,107,-1023
10753,46,-1023
10769,0,-1023
10784,1018,-1023
10803,952,-1023
10821,893,-1023
10839,833,-1023
10856,775,-1023
10874,715,-1023
10892,653,-1023
10909,589,-1023
10927,526,-1023
10945,462,-1023
10962,399,-1023
10980,337,-1023
10997,275,-1023
11016,215,-1023
11033,154,-1023
11051,92,-1023
11067,33,-1023
11084,470,-1023
11102,1000,-1023
11120,936,-1023
11139,875,-1023
11156,816,-1023
11173,758,-1023
11191,698,-1023
11209,633,-1023
11227,570,-1023
11244,506,-1023
11261,441,-1023
11280,377,-1023
11297,315,-1023
11315,253,-1023
11332,190,-1023
11351,127,-1023
11368,65,-1023
11384,4,-1023
11400,1023,-1023
11419,973,-1023
11437,912,-1023
11454,854,-1023
11472,794,-1023
11490,736,-1023
11507,675,-1023
11525,611,-1023
11543,547,-1023
11560,483,-1023
11578,418,-1023
11595,354,-1023
11614,294,-1023
11631,232,-1023
11649,172,-1023
11666,108,-1023
11684,46,-1023
11701,0,-1023
11716,1018,-1023
11735,953,-1023
11753,893,-1023
11770,832,-1023
11788,774,-1023
11806,714,-1023
11824,650,-1023
11841,587,-1023
11858,523,-1023
11877,458,-1023
11894,394,-1023
11912,331,-1023
11929,268,-1023
11948,206,-1023
11965,144,-1023
11982,80,-1023
11999,20,-1023
12016,1023,-1023
